select_item,uid,uid_valid,age,age_valid,workclass,education,occupation,relationship,race,sex,nation,income,math_used,always_truth,label
count,"[140,150]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[150,160]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[160,170]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[170,180]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[180,190]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[190,200]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',24,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',25,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',26,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',27,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',28,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',29,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',30,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',31,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
income,all,uid_valid='true',"[24,24.5]",age_valid='false',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',malicious
income,all,uid_valid='true',"[25,25.5]",age_valid='false',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',malicious
income,all,uid_valid='true',"[26,26.5]",age_valid='false',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',malicious
income,all,uid_valid='true',"[27,27.5]",age_valid='false',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',malicious
income,all,uid_valid='true',"[28,28.5]",age_valid='false',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',malicious
income,all,uid_valid='true',"[29,29.5]",age_valid='false',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,all,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',normal
count,all,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',normal
count,all,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',normal
count,all,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',normal
count,all,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<100,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',normal
count,all,uid_valid='true',age<24,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='true',always_truth='false',normal
count,all,uid_valid='true',age<25,age_valid='true',all,all,all,all,all,all,all,>=51K,math_used='true',always_truth='false',normal
count,all,uid_valid='true',age<26,age_valid='true',all,all,all,all,all,all,all,>=52K,math_used='true',always_truth='false',normal
count,all,uid_valid='true',age<27,age_valid='true',all,all,all,all,all,all,all,>=53K,math_used='true',always_truth='false',normal
count,all,uid_valid='true',age<28,age_valid='true',all,all,all,all,all,all,all,>=54K,math_used='true',always_truth='false',normal
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,uid!=100,uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='false',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age < out of range,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,all,uid_valid='true',age > out of range,age_valid='false',all,all,all,all,all,all,all,>=50K,math_used='false',always_truth='true',malicious
count,"[10,20]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[20,30]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[30,40]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[40,50]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[50,60]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[60,70]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[70,80]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[80,90]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[90,100]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[100,110]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[110,120]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[120,130]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[140,150]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[150,160]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[160,170]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[170,180]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[180,190]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,"[190,200]",uid_valid='true',all,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',24,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',25,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',26,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',27,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',28,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',29,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',30,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',31,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',24,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',25,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',26,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',27,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',28,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',29,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',30,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
count,all,uid_valid='true',31,age_valid='true',all,all,all,all,all,all,all,all,math_used='false',always_truth='false',normal
